1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he cant update his Facebook by texting it and might cry as a result  School today also Blah,0.99898905,Mon Apr 06 2009
1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,Kenichan I dived many times for the ball Managed to save 50  The rest go out of bounds,0.98274523,Mon Apr 06 2009
1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire,0.9769711,Mon Apr 06 2009
1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,nationwideclass no its not behaving at all im mad why am i here because I cant see you all over there,0.99675745,Mon Apr 06 2009
1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,Kwesidei not the whole crew,0.9962054,Mon Apr 06 2009
1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Need a hug,0.6732554,Mon Apr 06 2009
1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,LOLTrish hey  long time no see Yes Rains a bit only a bit  LOL  Im fine thanks  hows you,0.9985429,Mon Apr 06 2009
1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,TatianaK nope they didnt have it,0.99688774,Mon Apr 06 2009
1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,twittera que me muera,0.94026804,Mon Apr 06 2009
1467812416,Mon Apr 06 22:20:16 PDT 2009,NO_QUERY,erinx3leannexo,spring break in plain city its snowing,0.9041953,Mon Apr 06 2009
